X,Y,OBJECTID,Objecttype,Type_velo,Ligging,Straatnaam,Huisnummer,Aanvulling,District,Postcode,Objectcode,Gebruik,Aantal_plaatsen,Naam
490805.435435433,6661741.33067299,9020,VELOSTATION,ENKELZIJDIG,VOETPAD,Godefriduskaai,,thv Q-park,Antwerpen,2000,VE_0000129,IN_GEBRUIK,36,129 Godefriduskaai
492111.727847502,6659889.1075359,9021,VELOSTATION,ENKELZIJDIG,PLEIN,Koningin Astridplein,,to station 1,Antwerpen,2018,VE_0000002,IN_GEBRUIK,36,002 Centraal station Astrid 2
491186.935170642,6659990.42714611,9022,VELOSTATION,ENKEL-DUBBELZIJDIG,VOETPAD,Meir,84,,Antwerpen,2000,VE_0000026,IN_GEBRUIK,33,026 Meir-Antoon Van Dijck
490256.233411669,6660129.95496928,9023,VELOSTATION,ENKELZIJDIG,VOETPAD,Eiermarkt,12,,Antwerpen,2000,VE_0000019,BUITEN_GEBRUIK,24,019 Eiermarkt
489878.99981999,6660068.07436155,9024,VELOSTATION,ENKELZIJDIG,PARKEERZONE,Groenkerkhofstraat,2,thv Nationalestraat,Antwerpen,2000,VE_0000020,IN_GEBRUIK,27,020 Groenplaats 2
488424.478613629,6658573.20164857,9025,VELOSTATION,ENKELZIJDIG,VOETGANGERSZONE,Cockerillkaai,,,Antwerpen,2000,VE_0000035,IN_GEBRUIK,36,035 Cockerillkaai
489387.629606106,6657587.47580403,9026,VELOSTATION,ENKEL-DUBBELZIJDIG,VOETPAD,Paleisstraat,147,,Antwerpen,2018,VE_0000094,IN_GEBRUIK,33,094 Paleisstraat
488707.473513431,6656639.99873835,9027,VELOSTATION,DUBBELZIJDIG,GROENZONE,Singel,,tssn Singel/Brederodestraat,Antwerpen,2018,VE_0000012,IN_GEBRUIK,36,012 Brussel
491101.594112087,6660217.92779491,9028,VELOSTATION,ENKELZIJDIG,VOETPAD,Lange Nieuwstraat,105,,Antwerpen,2000,VE_0000027,IN_GEBRUIK,36,027 Lange Nieuwstraat
491849.272558918,6657783.7057887,9029,VELOSTATION,ENKELZIJDIG,VOETPAD,Belgiëlei,99,,Antwerpen,2018,VE_0000044,IN_GEBRUIK,36,044 Belgiëlei
492308.146921382,6658513.04691694,9030,VELOSTATION,ENKELZIJDIG,VOETPAD,Mercatorstraat,18,to 18,Antwerpen,2018,VE_0000006,IN_GEBRUIK,24,006 Premetro Plantin
492896.522494308,6658558.20595364,9031,VELOSTATION,DUBBELZIJDIG,VOETGANGERSZONE,Van Der Meydenstraat,123,,Borgerhout,2140,VE_0000111,IN_GEBRUIK,30,111 Van Der Meyden
493385.5200668,6661025.77840494,9032,VELOSTATION,ENKELZIJDIG,VOETPAD,Lange Stuivenbergstraat,86-88,to 86-88,Antwerpen,2060,VE_0000101,IN_GEBRUIK,36,101 Premetro Handel
494172.324786688,6661653.47372436,9033,VELOSTATION,ENKELZIJDIG,PARKEERZONE,Schijnpoortweg,27-29,,Antwerpen,2060,VE_0000120,IN_GEBRUIK,24,120 Eendracht
487434.510201941,6662329.69712844,9034,VELOSTATION,ENKELZIJDIG,VOETPAD,August Vermeylenlaan,7,to 7,Antwerpen,2050,VE_0000144,IN_GEBRUIK,36,144 August Vermeylenlaan
487419.28517315,6661717.2366441,9035,VELOSTATION,ENKELZIJDIG,VOETPAD,August Vermeylenlaan,,charles de costerlaan,Antwerpen,2050,VE_0000145,IN_GEBRUIK,24,145 De Coster
488200.918008866,6660015.59989291,9036,VELOSTATION,ENKELZIJDIG,GROENZONE,Beatrijslaan,42,,Antwerpen,2050,VE_0000153,IN_GEBRUIK,36,153 Beatrijslaan
487089.782181539,6660309.17143789,9037,VELOSTATION,DUBBELZIJDIG,VOETPAD,Blancefloerlaan,163-165,,Antwerpen,2050,VE_0000152,IN_GEBRUIK,36,152 Blancefloerlaan
488295.905894173,6660407.52390628,9038,VELOSTATION,ENKELZIJDIG,VOETPAD,Blancefloerlaan,,to frederick van eedenplein,Antwerpen,2050,VE_0000149,IN_GEBRUIK,36,149 Van Eedenplein
487861.750194778,6662680.60571419,9039,VELOSTATION,ENKELZIJDIG,VOETPAD,Esmoreitlaan,13,thv lodewijk van veltheimlaan,Antwerpen,2050,VE_0000142,IN_GEBRUIK,36,142 Esmoreitlaan
488272.632175083,6660848.82846992,9040,VELOSTATION,ENKELZIJDIG,VOETPAD,Frederik Van Eedenplein,4,to 4,Antwerpen,2050,VE_0000148,IN_GEBRUIK,36,148 Verhaerenlaan
488231.893039852,6662265.66524849,9041,VELOSTATION,ENKELZIJDIG,VOETPAD,Gloriantlaan,31,,Antwerpen,2050,VE_0000143,IN_GEBRUIK,24,143 Melis Stokelaan
488346.301704234,6663000.68857156,9042,VELOSTATION,ENKELZIJDIG,VOETPAD,Gloriantlaan,,thv kastanjedreef,Antwerpen,2050,VE_0000141,IN_GEBRUIK,36,141 Sint-Anna
488873.154716521,6662312.11539026,9043,VELOSTATION,ENKELZIJDIG,VOETPAD,Thonetlaan,,to jachthaven,Antwerpen,2050,VE_0000140,IN_GEBRUIK,36,140 Jachthaven LO
